ID,Name in English,Degree of endangerment,Countries,Number of speakers,country_count,naive_speakers_per_country
2205,Barzani Jewish Neo-Aramaic (Iraq),Extinct,Iraq,0.0,1,0.0
2048,Basay,Extinct,China,0.0,1,0.0
1692,Baygo,Extinct,Sudan,0.0,1,0.0
1653,Berakou,Extinct,Chad,0.0,1,0.0
1695,Berti,Extinct,Sudan,0.0,1,0.0
2661,Bina,Extinct,Papua New Guinea,0.0,1,0.0
53,Birgid,Extinct,Sudan,0.0,1,0.0
17,Boro,Extinct,"Ethiopia, Togo",0.0,2,0.0
1894,Cacaopera,Extinct,Nicaragua,0.0,1,0.0
135,Cape Khoekhoe,Extinct,South Africa,0.0,1,0.0
1338,Cappadocian Greek (Turkey),Extinct,Turkey,0.0,1,0.0
890,Catawba,Extinct,United States of America,0.0,1,0.0
255,Cayuga (Oklahoma),Extinct,United States of America,0.0,1,0.0
881,Cayuse,Extinct,United States of America,0.0,1,0.0
808,Central Kalapuyan,Extinct,United States of America,0.0,1,0.0
519,Chairel,Extinct,India,0.0,1,0.0
587,Cholon,Extinct,Peru,0.0,1,0.0
8,Coptic,Extinct,Egypt,0.0,1,0.0
798,Cowlitz,Extinct,United States of America,0.0,1,0.0
594,Culle,Extinct,Peru,0.0,1,0.0
1609,Cuman,Extinct,Hungary,0.0,1,0.0
868,Cupeño,Extinct,United States of America,0.0,1,0.0
345,Dalmatian,Extinct,Croatia,0.0,1,0.0
129,Deti,Extinct,Botswana,0.0,1,0.0
2073,Dharug,Critically endangered,Australia,0.0,1,0.0
2075,Dhurga,Critically endangered,Australia,0.0,1,0.0
2201,Dicamay Agta,Extinct,Philippines,0.0,1,0.0
1904,Dorasque,Extinct,Panama,0.0,1,0.0
2629,Dororo,Extinct,Solomon Islands,0.0,1,0.0
41,Duli,Extinct,Cameroon,0.0,1,0.0
177,Dungidjau,Extinct,Australia,0.0,1,0.0
438,Dura,Extinct,Nepal,0.0,1,0.0
259,Eastern Abenaki,Extinct,United States of America,0.0,1,0.0
470,Eastern Kamchadal,Extinct,Russian Federation,0.0,1,0.0
833,Eastern Pomo,Extinct,United States of America,0.0,1,0.0
782,Eel River Athabaskan,Extinct,United States of America,0.0,1,0.0
56,Eliri,Severely endangered,Sudan,0.0,1,0.0
92,Elmolo,Extinct,Kenya,0.0,1,0.0
1321,Eotile,Extinct,Côte d'Ivoire,0.0,1,0.0
150,Eyak,Extinct,United States of America,0.0,1,0.0
180,Gaagudju,Extinct,Australia,0.0,1,0.0
89,Gafat,Extinct,Ethiopia,0.0,1,0.0
1893,Garífuna (Nicaragua),Critically endangered,Nicaragua,0.0,1,0.0
1687,Ge'ez,Extinct,Ethiopia,0.0,1,0.0
2671,Getmata,Extinct,Papua New Guinea,0.0,1,0.0
42,Gey,Extinct,Cameroon,0.0,1,0.0
358,Gothic,Extinct,Ukraine,0.0,1,0.0
4,Guanche,Extinct,Spain,0.0,1,0.0
68,Gule,Extinct,Sudan,0.0,1,0.0
2632,Guliguli,Extinct,Solomon Islands,0.0,1,0.0
601,Gününa Küne,Extinct,Argentina,0.0,1,0.0
1121,Gyasumdo,Definitely endangered,Nepal,0.0,1,0.0
807,Hanis,Extinct,United States of America,0.0,1,0.0
2045,Hoanya,Extinct,China,0.0,1,0.0
59,Homa,Extinct,Sudan,0.0,1,0.0
1651,Horo,Extinct,Chad,0.0,1,0.0
2219,Hpun,Extinct,Myanmar,0.0,1,0.0
1817,Huitoto (Brazil),Extinct,Brazil,0.0,1,0.0
2592,Hukumina,Extinct,Indonesia,0.0,1,0.0
1537,Huron-Wyandot (United States of America),Extinct,United States of America,0.0,1,0.0
2642,Ifo,Extinct,Vanuatu,0.0,1,0.0
854,Ineseño,Extinct,United States of America,0.0,1,0.0
298,Island Carib,Extinct,Dominica,0.0,1,0.0
857,Island Chumash,Extinct,United States of America,0.0,1,0.0
1925,Jorá,Critically endangered,Bolivia (Plurinational State of),0.0,1,0.0
696,Judeo-Berber (Morocco),Extinct,Morocco,0.0,1,0.0
477,Kamas,Extinct,Russian Federation,0.0,1,0.0
1353,Kamas Turk,Extinct,Russian Federation,0.0,1,0.0
2675,Kaniet,Extinct,Papua New Guinea,0.0,1,0.0
1548,Kansa,Extinct,United States of America,0.0,1,0.0
341,Karaim (Crimea),Extinct,Ukraine,0.0,1,0.0
2677,Karami,Extinct,Papua New Guinea,0.0,1,0.0
1517,Karelian (Valday),Extinct,Russian Federation,0.0,1,0.0
2091,Katabaga,Extinct,Philippines,0.0,1,0.0
783,Kato,Extinct,United States of America,0.0,1,0.0
